Departure,Arrival,Date,"Flight
Count","% On-Time
Gate
Departures","% On-Time
Airport
Departures","% On-Time
Gate
Arrivals","Arrivals
With
EDCT","Average
EDCT
Where
EDCT>0","Gate
Departure
Delay","Taxi
Out
Delay","Average
Taxi
Out
Time","Airport
Departure
Delay","Airborne
Delay","Taxi
In
Delay","Block
Delay","Gate
Arrival
Delay"
ABQ,AUS,5/1/2020,1,100,100,100,0,0,2,11.5,19,14,0,0,2,4
ABQ,AUS,5/22/2020,1,100,100,100,0,0,0,4.1,13,0,0,2.5,0,0
ABQ,AUS,5/25/2020,1,100,100,100,0,0,0,3.1,12,0,0,0,0,0
ABQ,AUS,5/29/2020,1,100,100,100,0,0,0,0.1,9,0,1,0,3,0
ABQ,BUR,5/17/2020,1,0,0,0,0,0,20,0.1,9,20,8,0,7,27
ABQ,BWI,5/2/2020,1,100,100,100,0,0,0,4.5,12,0,5,0,0,0
ABQ,DAL,5/1/2020,3,100,100,100,0,0,0,1.17,8,0.33,3.67,0.6,0,0
ABQ,DAL,5/2/2020,1,100,100,100,0,0,0,0.5,8,0,0,0,0,0
ABQ,DAL,5/3/2020,2,100,100,100,0,0,0,0,7,0,0.5,0,0,0
ABQ,DAL,5/4/2020,2,100,100,100,0,0,0,0.25,7.5,0,4.5,0.7,0,0
ABQ,DAL,5/5/2020,2,100,100,100,0,0,0,1,8.5,0,6,0.7,0,0
ABQ,DAL,5/6/2020,2,100,100,100,0,0,0,4,11.5,4,4.5,0.7,0,0
ABQ,DAL,5/7/2020,2,100,100,100,0,0,0,5,12.5,0,4.5,0.2,0,0
ABQ,DAL,5/8/2020,2,100,100,100,0,0,0,2,9.5,0,9,1.2,0,0
ABQ,DAL,5/9/2020,2,100,100,100,0,0,0,2.5,10,0,4.5,0.7,0,0
ABQ,DAL,5/10/2020,2,100,100,100,0,0,0,1.5,9,1.5,3,0,0,0
ABQ,DAL,5/11/2020,2,100,100,100,0,0,0,0,7,0,5.5,0,0,0
ABQ,DAL,5/12/2020,2,100,100,100,0,0,0,2,9.5,0,1.5,0.9,0,0
ABQ,DAL,5/13/2020,2,50,50,50,0,0,18.5,1,8.5,19,3.5,0.2,0,13
ABQ,DAL,5/14/2020,2,100,100,100,0,0,0,3,10.5,2,5,0.2,0,0
ABQ,DAL,5/15/2020,2,100,100,100,0,0,0.5,2,9.5,3,5,0,0,0
ABQ,DAL,5/16/2020,2,100,100,100,0,0,1,1.5,9,2,6.5,0.9,0.5,0.5
ABQ,DAL,5/17/2020,2,100,100,100,0,0,0,2,9.5,0,5.5,0.2,0,0
ABQ,DAL,5/18/2020,2,100,100,100,0,0,1.5,4.5,12,6,3.5,0.7,0,0.5
ABQ,DAL,5/19/2020,3,100,100,100,0,0,0.33,1.5,8.67,2,3.33,0.57,2,0
ABQ,DAL,5/20/2020,2,100,100,100,0,0,0,4.5,12,2,3,0.4,0,0
ABQ,DAL,5/21/2020,2,100,100,100,0,0,0,0.75,7.5,0,2,0.9,0,0
ABQ,DAL,5/22/2020,3,100,100,100,0,0,0,2.7,10.67,2,5,1.03,4.33,4.33
ABQ,DAL,5/23/2020,2,100,100,100,0,0,0.5,1.5,9,2,6.5,0,0,0
ABQ,DAL,5/24/2020,2,100,100,100,0,0,0,0.5,8,0.5,3.5,0.4,0,0
ABQ,DAL,5/25/2020,3,100,100,100,0,0,0,1,8,0,7,1.93,2,0
ABQ,DAL,5/26/2020,2,100,100,100,0,0,0,2,9.5,1,6.5,0,0,0
ABQ,DAL,5/27/2020,2,100,100,100,0,0,0,1.75,9,0,3.5,1.4,0,0
ABQ,DAL,5/28/2020,2,100,100,100,0,0,0,1.5,9,0,5.5,0.2,0,0
ABQ,DAL,5/29/2020,2,100,100,100,0,0,3.5,0.5,8,4,6.5,0.2,0,0.5
ABQ,DAL,5/30/2020,2,100,100,100,0,0,0,0,7,0,6,0,0,0
ABQ,DAL,5/31/2020,2,100,100,100,0,0,0,1.5,9,0,3.5,1.2,0,0
ABQ,DEN,5/1/2020,2,100,100,100,0,0,0,2.05,11.5,0,1,0,0,0
ABQ,DEN,5/2/2020,4,100,100,100,0,0,0,5.85,14.5,1.75,4.5,0.45,0.5,0
ABQ,DEN,5/3/2020,4,100,100,100,0,0,0,5.78,14.25,3.25,1.5,1.83,0,0
ABQ,DEN,5/4/2020,4,100,100,100,0,0,0,4.75,13.5,2.5,2,0.4,1.75,0.75
ABQ,DEN,5/5/2020,4,100,100,100,0,0,0,7.75,16.5,3.5,5.25,1.4,4.25,1.25
ABQ,DEN,5/6/2020,4,100,100,100,0,0,0,1,9.75,0,6,1.38,0.25,0
ABQ,DEN,5/7/2020,5,100,100,100,0,0,0,5.42,14.2,1.2,4,2.86,3.2,0.6
ABQ,DEN,5/8/2020,4,100,75,100,0,0,0,9.25,17.5,6.25,3.75,1.13,6,3.5
ABQ,DEN,5/9/2020,5,100,80,100,0,0,0,7.66,16.4,3.4,1.8,1.02,4.8,2.6
ABQ,DEN,5/10/2020,5,100,100,100,0,0,0,0.3,8.2,0,2.8,0.72,0,0
ABQ,DEN,5/11/2020,4,100,50,75,0,0,0,15.88,24.5,10.75,6.25,1.3,13,8
ABQ,DEN,5/12/2020,5,100,100,100,0,0,0,7.82,16.6,2.6,4,1.46,3.4,0.2
ABQ,DEN,5/13/2020,4,100,100,100,0,0,0,2.75,11,1,4,0.08,0,0
ABQ,DEN,5/14/2020,5,100,100,80,0,0,0,2.42,11.2,0.6,10.2,0.3,4.6,3.8
ABQ,DEN,5/15/2020,4,100,75,100,0,0,0.25,6.13,14.75,4.75,7.5,0.58,3.75,2.25
ABQ,DEN,5/16/2020,5,100,100,100,0,0,0,2.06,10.8,0,3,1.78,0.8,0
ABQ,DEN,5/17/2020,5,100,100,100,0,0,0,2.3,10.4,0.4,3.8,0.62,0,0
ABQ,DEN,5/18/2020,4,100,75,75,0,0,0,10.88,19.5,6.75,2.75,1.38,6.5,4.5
ABQ,DEN,5/19/2020,5,100,100,100,0,0,0,5.62,14.4,2.6,5.2,0.24,0,0
ABQ,DEN,5/20/2020,4,100,100,100,0,0,0.25,9,17.75,3.75,5.5,0.65,3.25,0
ABQ,DEN,5/21/2020,5,100,80,100,0,0,0,8.82,17.6,5,4.4,0.92,4.6,2.4
ABQ,DEN,5/22/2020,4,100,100,100,0,0,0,1.13,9.5,1,5.5,0.65,0,0
ABQ,DEN,5/23/2020,5,100,100,100,0,0,0,4.16,12.8,0.8,2.2,1.22,0,0
ABQ,DEN,5/24/2020,5,100,80,80,0,0,0,11.02,19.8,5.2,5.6,1.86,7.6,4.8
ABQ,DEN,5/25/2020,5,100,100,100,0,0,0,2.8,11.2,1.2,3.2,1.3,1.2,0
ABQ,DEN,5/26/2020,5,100,100,100,0,0,0,3,11.6,0.2,1.4,0.88,0,0
ABQ,DEN,5/27/2020,4,100,100,100,0,0,0.5,1.25,9,1.5,3.75,1.13,0,0
ABQ,DEN,5/28/2020,5,100,80,100,0,0,2,5.12,13.8,4.4,4.2,1.48,4,3.6
ABQ,DEN,5/29/2020,4,100,100,100,0,0,0,4,12.75,1.75,12.5,1.4,5.25,1.75
ABQ,DEN,5/30/2020,5,100,100,100,0,0,2.2,2.76,11.4,3.6,3.4,2.4,1.4,0
ABQ,DEN,5/31/2020,5,100,100,100,0,0,0,2.02,10.8,1.4,5,0.72,2,0.6
ABQ,DFW,5/1/2020,4,100,100,100,0,0,0,1.48,11.5,0,0.75,4.7,0,0
ABQ,DFW,5/2/2020,2,100,100,100,0,0,0,7.8,18.5,2,7,7.2,4,0.5
ABQ,DFW,5/3/2020,1,100,100,100,0,0,0,0,8,0,0,9.7,0,0
ABQ,DFW,5/4/2020,4,75,75,100,0,0,3.75,2.48,12.5,4.25,1.75,4.27,0,2.5
ABQ,DFW,5/5/2020,3,100,100,100,0,0,0,0.97,11.67,0,3.67,1.8,0,0
ABQ,DFW,5/6/2020,4,100,100,100,0,0,0,0.58,10.25,0,1.75,3.7,0,0
ABQ,DFW,5/7/2020,5,100,80,100,0,0,0,8.62,18.6,4.6,7,5.2,4.2,2.2
ABQ,DFW,5/8/2020,3,100,100,100,0,0,1.33,0.37,9,0.67,2.33,2.77,0,0
ABQ,DFW,5/9/2020,2,100,100,100,0,0,0,0,7.5,0,1,10.8,0,0
ABQ,DFW,5/10/2020,2,100,100,100,0,0,0,5.1,14,2.5,0.5,9.8,2,0
ABQ,DFW,5/11/2020,3,100,100,100,0,0,0,1.13,10.33,0,3,6.77,0,0
ABQ,DFW,5/12/2020,2,100,100,100,0,0,0,3.6,12.5,0,7,8.3,4,1.5
ABQ,DFW,5/13/2020,4,100,100,100,0,0,0,0.35,9.75,0,3.25,6.25,0,0
ABQ,DFW,5/14/2020,3,100,100,100,0,0,0,1.83,11.33,0,5.33,7.77,0,0
ABQ,DFW,5/15/2020,3,66.67,66.67,100,0,0,8.33,0.37,9,8,1,6.53,0.67,3.33
ABQ,DFW,5/16/2020,3,66.67,66.67,100,0,0,15.33,1.4,10.67,15.67,2.33,1.87,0,0
ABQ,DFW,5/17/2020,3,100,100,100,0,0,0,1.13,10.33,0,0,1.87,0,0
ABQ,DFW,5/18/2020,4,100,100,100,0,0,0,2.38,12,0.5,2.5,8,1.5,0.75
ABQ,DFW,5/19/2020,2,50,50,50,0,0,44.5,4.1,13,48,0,13.3,5.5,50
ABQ,DFW,5/20/2020,3,100,100,100,0,0,0,2.73,12,1.33,1.67,7.43,2.33,1.33
ABQ,DFW,5/21/2020,3,100,100,100,0,0,0,2.13,11.33,0,1.33,8.1,0,0
ABQ,DFW,5/22/2020,3,100,100,100,0,0,0,2.5,12,0,0.67,7.77,0,0
ABQ,DFW,5/23/2020,2,100,100,100,0,0,0,2.6,11.5,0,0,7.3,0,0
ABQ,DFW,5/24/2020,3,100,100,66.67,0,0,0,6.5,16,4,5.33,8.77,6.67,5
ABQ,DFW,5/25/2020,2,100,100,100,0,0,0,0,8,0,7,6.3,4,1
ABQ,DFW,5/26/2020,4,100,100,100,0,0,0,0.6,10,0,0,4.5,0,0
ABQ,DFW,5/27/2020,4,100,100,100,0,0,0,4.88,14.5,2,2.25,9,3,1.25
ABQ,DFW,5/28/2020,4,100,100,100,0,0,0,0.95,10.75,0,1.25,6.25,0,0
ABQ,DFW,5/29/2020,4,100,100,100,0,0,0,1.67,11.25,0,0,5.5,0.25,0
ABQ,DFW,5/30/2020,3,100,100,100,0,0,0,0.73,10,0,0,7.43,1,0
ABQ,DFW,5/31/2020,3,66.67,66.67,66.67,0,0,19.67,1.17,10.67,20,0,6.43,0,18.33
ABQ,HOU,5/1/2020,1,100,100,100,0,0,0,1.5,9,0,0,0,0,0
ABQ,HOU,5/2/2020,1,100,100,100,0,0,0,0.5,8,0,0,0,0,0
ABQ,IAD,5/8/2020,1,100,100,100,0,0,0,0,8,0,12,0.5,14,0
ABQ,IAH,5/1/2020,1,100,100,100,0,0,0,0.1,9,0,0,0,0,0
ABQ,IAH,5/2/2020,1,100,100,100,0,0,0,1.1,10,0,0,0,0,0
ABQ,IAH,5/3/2020,1,100,100,100,0,0,0,1.1,10,0,0,0.5,0,0
ABQ,IAH,5/4/2020,1,100,100,100,0,0,0,3,13,0,3,1.9,0,0
ABQ,IAH,5/5/2020,2,100,100,100,0,0,0,0,9,0,11.5,3.4,0,0
ABQ,IAH,5/6/2020,2,100,100,100,0,0,0,0,9,0,5,1.4,0,0
ABQ,IAH,5/7/2020,2,100,100,100,0,0,0,3.5,13.5,0,8,2.4,0,0
ABQ,IAH,5/8/2020,2,100,100,100,0,0,0,0,8.5,0,15.5,1.95,0,0
ABQ,IAH,5/9/2020,1,100,100,100,0,0,0,0,8,0,5,1.9,0,0
ABQ,IAH,5/10/2020,1,100,100,100,0,0,0,2,12,0,4,2.9,0,0
ABQ,IAH,5/11/2020,2,100,100,100,0,0,5,1,10.5,4.5,6.5,3.9,0,0
