Departure,Arrival,Date,"Flight
Count","% On-Time
Gate
Departures","% On-Time
Airport
Departures","% On-Time
Gate
Arrivals","Arrivals
With
EDCT","Average
EDCT
Where
EDCT>0","Gate
Departure
Delay","Taxi
Out
Delay","Average
Taxi
Out
Time","Airport
Departure
Delay","Airborne
Delay","Taxi
In
Delay","Block
Delay","Gate
Arrival
Delay"
ABQ,AUS,6/1/2020,1,0,0,0,0,0,58,9.1,18,67,0,2.5,5,63
ABQ,AUS,6/5/2020,1,100,100,100,0,0,0,0.1,9,0,0,14.5,10,7
ABQ,AUS,6/8/2020,1,100,100,100,0,0,0,0.1,9,0,0,2.5,0,0
ABQ,AUS,6/10/2020,1,100,100,100,0,0,0,0,8,0,19,0,18,4
ABQ,AUS,6/12/2020,1,100,100,100,0,0,0,0,6,0,0,2.5,0,0
ABQ,AUS,6/15/2020,1,100,100,100,0,0,0,4.1,13,0,0,3.5,3,0
ABQ,AUS,6/19/2020,1,100,100,100,0,0,0,4.1,13,0,0,0,2,0
ABQ,AUS,6/22/2020,1,100,100,100,0,0,0,3.1,12,0,0,4.5,6,0
ABQ,AUS,6/26/2020,1,100,100,100,0,0,0,0,8,0,0,0,0,0
ABQ,AUS,6/29/2020,1,100,100,100,0,0,0,1.1,10,0,0,0,0,0
ABQ,BWI,6/7/2020,1,100,100,100,0,0,0,0,7,0,4,0,0,0
ABQ,BWI,6/8/2020,1,100,100,100,0,0,0,6.6,14,4,7,0,0,0
ABQ,BWI,6/9/2020,1,100,100,100,0,0,0,3.6,11,0,2,0,0,0
ABQ,BWI,6/10/2020,1,100,100,100,0,0,0,0.6,8,0,0,10,0,0
ABQ,BWI,6/11/2020,1,100,100,100,0,0,0,0.6,8,0,0,0,0,0
ABQ,BWI,6/12/2020,1,100,100,100,0,0,0,4.6,12,2,6,0,1,0
ABQ,BWI,6/13/2020,1,100,100,100,0,0,0,1.6,9,0,5,0,0,0
ABQ,BWI,6/14/2020,1,100,100,100,0,0,0,0.6,8,0,0,0,0,0
ABQ,BWI,6/15/2020,1,100,100,100,0,0,0,0.6,8,0,1,3,4,2
ABQ,BWI,6/16/2020,1,100,100,100,0,0,0,1.6,9,2,0,0,4,4
ABQ,BWI,6/17/2020,1,100,100,0,0,0,8,1.6,9,10,0,0,7,15
ABQ,BWI,6/18/2020,1,100,100,100,0,0,0,2.6,10,2,2,8,13,12
ABQ,BWI,6/19/2020,1,100,100,100,0,0,0,1.6,9,0,4,0,8,3
ABQ,BWI,6/20/2020,1,100,100,100,0,0,0,7.6,15,6,0,2,0,0
ABQ,BWI,6/21/2020,1,100,100,100,0,0,0,2.6,10,3,0,0,0,0
ABQ,BWI,6/22/2020,1,100,100,100,0,0,0,0,7,0,6,0,0,0
ABQ,BWI,6/23/2020,1,100,100,100,0,0,0,0.6,8,0,0,0,0,0
ABQ,BWI,6/24/2020,1,100,100,100,0,0,0,0.6,8,1,3,0,0,0
ABQ,BWI,6/25/2020,1,100,100,100,0,0,2,2.6,10,5,0,0,0,0
ABQ,BWI,6/26/2020,1,100,100,100,0,0,0,1.6,9,0,5,0,0,0
ABQ,BWI,6/27/2020,1,100,100,100,0,0,0,1.6,9,0,0,1,1,0
ABQ,BWI,6/28/2020,1,100,100,100,0,0,0,2.6,10,0,6,0,0,0
ABQ,BWI,6/29/2020,1,100,100,100,0,0,0,1.6,9,0,4,0,0,0
ABQ,BWI,6/30/2020,1,100,100,100,0,0,0,4.6,12,3,9,0,0,0
ABQ,CLT,6/6/2020,1,100,0,0,0,0,0,18.1,27,18,1,1,7,19
ABQ,CLT,6/13/2020,1,100,100,100,0,0,0,0.1,9,0,4,1,6,5
ABQ,DAL,6/1/2020,2,100,100,100,0,0,0,0.3,7.5,0,2,0.6,0,0
ABQ,DAL,6/2/2020,2,100,100,100,0,0,0,1.3,8.5,0,3,0,0,0
ABQ,DAL,6/3/2020,2,100,100,100,0,0,0,3.6,11,1,3,2.6,0,0
ABQ,DAL,6/4/2020,2,100,50,100,0,0,0,11.6,19,10.5,3,0.3,2,1
ABQ,DAL,6/5/2020,3,66.67,66.67,100,0,0,10.33,3.6,11,11.67,1,0.2,0,4.67
ABQ,DAL,6/6/2020,2,100,100,100,0,0,0,1.1,8.5,0,2,0.3,0,0
ABQ,DAL,6/7/2020,3,100,100,100,0,0,0.67,1.27,8.67,1.33,3.67,2.07,0,0
ABQ,DAL,6/8/2020,3,100,100,100,0,0,0,8.6,16,6.67,5.33,0.87,1,0.33
ABQ,DAL,6/9/2020,3,100,100,100,0,0,0,1.27,8.67,0,5.33,0.2,0,0
ABQ,DAL,6/10/2020,3,100,100,100,0,0,0,1.27,8.67,0,7.33,0.73,0,0
ABQ,DAL,6/11/2020,3,100,100,100,0,0,0,2.6,10,0.33,6.33,0.2,0,0
ABQ,DAL,6/12/2020,3,100,100,100,0,0,0,2.6,10,0,4.33,1.53,0,0
ABQ,DAL,6/13/2020,3,100,100,100,0,0,0,3.07,10.33,0,5,0.73,0,0
