Departure,Arrival,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a
ATL,DAY,20-Apr,25,100,100,100,0,0,0,0.64,12.44,0.08,3.76,0.26,1.56,0.4
ATL,DCA,20-Apr,125,96.8,96,97.6,0,0,2.25,1.35,12.58,2.49,3.15,0.49,0.2,1.51
ATL,DEN,20-Apr,149,97.99,97.99,84.56,0,0,1.49,1.24,12.33,1.79,3.11,0.9,7.19,6.19
ATL,DFW,20-Apr,202,94.06,94.06,84.65,0,0,2.18,2.23,14.82,2.87,1.91,4.24,5.85,5.63
ATL,DTW,20-Apr,175,92.57,90.86,90.29,0,0,3.12,0.83,12.68,3.2,0.15,1.11,2.98,4.32
ATL,EWR,20-Apr,57,98.25,98.25,100,0,0,0.91,0.42,11.72,0.95,0.46,0.22,0,0.05
ATL,FLL,20-Apr,181,95.58,95.58,96.13,0,0,1.55,1.37,12.72,1.99,1.24,2.17,1.31,1.88
ATL,HOU,20-Apr,126,97.62,96.83,89.68,0,0,2.16,1.35,12.08,2.4,0.82,0.72,5.05,5.03
ATL,HPN,20-Apr,9,100,100,100,0,0,0.78,0.22,12,0.89,0.56,0.09,0,0.44
ATL,IAD,20-Apr,90,95.56,95.56,96.67,0,0,1.83,1.2,12.4,1.96,3.58,0.21,0.43,1.26
ATL,IAH,20-Apr,107,94.39,95.33,84.11,0,0,2.31,2.85,14.8,3.16,6.32,1.26,8.67,8.64
ATL,IND,20-Apr,87,100,100,97.7,0,0,0.36,1.14,12.22,0.64,1.85,0.17,3.51,2.28
ATL,JAX,20-Apr,112,97.32,96.43,98.21,0,0,1.59,1.02,12.4,1.87,1.93,0.35,0.83,0.78
ATL,JFK,20-Apr,98,97.96,95.92,100,0,0,0.93,1.93,14.47,2.03,0.62,0.5,0.38,0.53
ATL,LAS,20-Apr,100,99,99,81,0,0,1.22,1.79,12.79,1.87,2.08,0.5,8.77,7.68
ATL,LAX,20-Apr,157,92.99,92.36,66.88,0,0,3.21,2.01,13.96,4.17,3.28,0.57,10.1,11.68
ATL,LGA,20-Apr,145,95.17,95.17,97.93,0,0,2.42,1.32,13.12,2.72,1.38,0.35,0.16,0.74
ATL,MCI,20-Apr,97,97.94,97.94,88.66,0,0,1.52,1.34,12.98,1.74,1.19,0.46,5.27,4.46
ATL,MCO,20-Apr,191,96.86,96.34,96.86,0,0,1.28,1.77,13.27,1.79,1.55,1.69,0.8,1.27
ATL,MDW,20-Apr,105,98.1,98.1,97.14,0,0,0.94,1.16,11.66,1.15,0.83,0.61,1.27,1.25
ATL,MEM,20-Apr,73,94.52,91.78,90.41,1,109,3.79,1.59,13.77,4.04,1.71,0.1,5.23,6.71
ATL,MIA,20-Apr,168,98.21,97.02,97.02,0,0,1.42,1.89,13.92,2.05,0.97,0.73,0.54,1.74
ATL,MKE,20-Apr,76,96.05,94.74,94.74,0,0,3.05,2.02,13.83,3.45,1.29,0.45,4.82,5.3
ATL,MSP,20-Apr,141,95.74,94.33,91.49,0,0,1.79,1.32,13.8,2.26,1.89,0.15,4.7,3.96
ATL,MSY,20-Apr,103,99.03,99.03,92.23,0,0,0.64,1.87,13.63,1.18,0.25,0.43,3.29,2.37
ATL,OAK,20-Apr,12,91.67,91.67,83.33,0,0,2.92,0.57,10.08,2.75,1.92,1.9,9.17,8.33
ATL,OMA,20-Apr,53,94.34,94.34,92.45,0,0,2.53,1.55,13.98,2.79,0.75,0.13,8.58,6.28
ATL,ONT,20-Apr,1,100,100,100,0,0,0,0,13,0,4,0,2,0
ATL,ORD,20-Apr,213,95.77,95.77,96.24,0,0,3.25,1.72,13.68,3.73,1.47,1.76,0.74,3.08
ATL,PBI,20-Apr,110,96.36,95.45,97.27,0,0,1.45,1.43,13.11,1.93,1.6,0.24,1.34,1.76
ATL,PDX,20-Apr,27,100,96.3,74.07,0,0,0.85,1.41,13.07,1.7,4.07,0.03,15.3,11.74
ATL,PHL,20-Apr,156,93.59,93.59,95.51,0,0,2.79,1.53,12.91,3.06,2.99,1.03,0.37,1.92
ATL,PHX,20-Apr,97,85.57,86.6,68.04,0,0,4.63,1.66,13.35,5.65,4.35,1.05,9.84,12.29
ATL,PIT,20-Apr,78,97.44,97.44,97.44,0,0,1.21,0.62,11.83,1.19,2.26,0.65,2.17,1.56
ATL,PVD,20-Apr,9,100,100,88.89,0,0,0.89,0,11.56,0.67,2.56,0.36,3.67,2.67
ATL,RDU,20-Apr,129,95.35,96.12,96.12,0,0,2.4,0.78,12.02,2.44,1.74,0.64,0.29,1.74
ATL,RSW,20-Apr,94,95.74,94.68,93.62,0,0,2.27,2.4,14.54,3.1,1.35,0.09,2.34,3.19
ATL,SAN,20-Apr,52,96.15,96.15,57.69,0,0,1.29,2.25,14.73,2.02,3.5,0.73,18.62,14.71
ATL,SAT,20-Apr,77,94.81,96.1,72.73,0,0,2.01,1.95,13.71,2.77,1.99,0.39,12.36,10.42
ATL,SDF,20-Apr,60,100,100,98.33,0,0,0.03,1.13,13.33,0.23,2.68,0.61,2.5,0.82
ATL,SEA,20-Apr,86,94.19,95.35,84.88,0,0,1.84,2.16,14.69,2.43,4.14,1.74,6.72,6.34
ATL,SFO,20-Apr,57,98.25,98.25,82.46,0,0,0.67,3.05,16.47,1.96,5.86,0.11,7.35,6.26
ATL,SJC,20-Apr,13,92.31,92.31,92.31,0,0,1.15,0.62,13.15,1.31,4.31,0.08,10.31,7
ATL,SJU,20-Apr,25,96,96,100,0,0,1.32,1.84,14.84,1.64,0.96,1.06,0.52,0.72
ATL,SLC,20-Apr,125,91.2,90.4,75.2,0,0,2.98,1.39,13.7,3.47,3.06,0.96,9.4,9.26
ATL,SMF,20-Apr,31,96.77,96.77,90.32,0,0,3.35,0.61,12.35,3.29,4.9,0.23,8.35,8.06
ATL,SNA,20-Apr,13,92.31,100,53.85,0,0,2.08,0.38,12.46,1.69,10.62,0.23,20.62,17.92
ATL,STL,20-Apr,106,97.17,98.11,93.4,0,0,1.24,1.66,12.65,1.63,0.37,0.3,4.16,3.61
ATL,TEB,20-Apr,1,0,0,0,0,0,66,5.9,18,72,14,0,21,87
ATL,TPA,20-Apr,146,95.89,95.21,97.26,0,0,1.65,1.18,12.37,1.91,0.68,0.5,0.69,1.34
ATL,TUS,20-Apr,10,100,100,40,0,0,0,1.7,13.5,0.8,4.4,0.22,23.7,15.6
ATL,VNY,20-Apr,1,0,0,0,0,0,37,2.9,15,40,1,0,3,40
AUS,ABQ,20-Apr,23,100,100,100,0,0,0,1.32,9.3,0.57,1.83,0.16,1.83,0.61
AUS,ATL,20-Apr,115,99.13,99.13,99.13,0,0,0.62,0.81,9.72,0.67,0.27,0.63,0.29,0.28
AUS,BNA,20-Apr,58,100,98.28,98.28,0,0,0.02,1,8.9,0.28,1.48,0.86,0.69,0.41
AUS,BOS,20-Apr,29,96.55,96.55,100,0,0,1.17,0.64,9.38,1,0.76,1.28,0,0
AUS,BUR,20-Apr,1,0,0,0,0,0,41,0,6,37,5,0,0,40
AUS,BWI,20-Apr,54,98.15,98.15,98.15,0,0,1.22,1.04,9.19,1.33,0.31,1.98,0.06,1.15
AUS,CLT,20-Apr,63,98.41,98.41,98.41,0,0,1.6,2.24,12.76,1.89,2.79,1.8,0,1.24
AUS,CVG,20-Apr,2,50,50,50,0,0,31,0,10,31,6,0.2,3,34
AUS,DAL,20-Apr,97,95.88,95.88,95.88,0,0,2.75,0.58,8.41,2.94,2.13,0.67,0.36,2.94
AUS,DCA,20-Apr,13,100,100,100,0,0,0,0.2,7.62,0,0.38,2.65,0,0
AUS,DEN,20-Apr,129,98.45,96.9,98.45,0,0,0.58,2.47,11.48,1.27,1.2,0.96,0.36,0.47
AUS,DFW,20-Apr,99,97.98,96.97,96.97,0,0,1.01,2.51,13.07,1.57,1.54,4.24,1.45,1.48
AUS,DTW,20-Apr,35,91.43,88.57,97.14,0,0,2.69,1.99,12.14,3.91,0.09,1.61,1.77,1.91
AUS,EWR,20-Apr,3,100,100,100,0,0,0,2.1,12,0,0.67,1.53,0,0
AUS,FLL,20-Apr,32,100,100,100,0,0,0.22,1.09,9.47,0.44,1.75,1.77,0.06,0
AUS,HOU,20-Apr,41,95.12,95.12,90.24,0,0,1.83,1.17,9.1,2.27,1.61,0.35,1.05,2.32
AUS,IAD,20-Apr,1,100,100,100,0,0,0,1.1,11,0,0,0,0,0
AUS,IAH,20-Apr,19,100,89.47,94.74,0,0,0,5.55,15.47,3.11,1.42,1.03,1.74,1.68
AUS,IND,20-Apr,2,100,100,100,0,0,0,0,8,0,6.5,0,0,0
AUS,JFK,20-Apr,10,90,90,90,0,0,4,2.76,13.3,4.8,0,1.21,0,2.9
AUS,LAS,20-Apr,66,95.45,95.45,93.94,0,0,2.74,1.32,9.61,3,1.42,0.75,2.44,3.61
AUS,LAX,20-Apr,66,95.45,93.94,93.94,0,0,6.2,2,11.59,6.91,1.86,0.39,2.11,6.89
AUS,MCI,20-Apr,17,100,100,100,0,0,0.12,1.74,9.59,0.65,1.53,0.16,0.12,0
AUS,MCO,20-Apr,47,95.74,93.62,97.87,0,0,2.72,0.98,9.43,2.89,0.19,1.9,0.04,1.38
AUS,MDW,20-Apr,55,96.36,96.36,100,0,0,1.09,0.87,8.75,1.2,4.95,0.65,0.45,0.49
AUS,MEM,20-Apr,21,95.24,95.24,95.24,0,0,1.1,1.85,11.95,3.05,0,2.73,1.43,3.71
AUS,MIA,20-Apr,44,93.18,93.18,93.18,0,0,2.86,2.74,13.07,3.64,2.2,0.29,1.09,2.75
AUS,MSP,20-Apr,26,100,100,100,0,0,0,1.36,12.62,0.04,1.15,0.66,4.04,1.54
AUS,MSY,20-Apr,24,100,100,100,0,0,0.33,1.32,9.58,0.75,2.13,0.25,0.58,0.25
AUS,OAK,20-Apr,20,95,95,90,0,0,2.45,1.86,10.15,3.3,0.95,0.04,4.35,4.45
AUS,ORD,20-Apr,77,100,100,100,0,0,0.04,2.74,13.19,0.14,2.08,2.68,0.4,0
AUS,PBI,20-Apr,2,50,50,50,0,0,14.5,0.8,11,15.5,4.5,0.7,5.5,19.5
AUS,PDX,20-Apr,1,100,100,100,0,0,0,8.6,19,0,0,0,0,0
AUS,PHL,20-Apr,25,100,100,100,0,0,0.68,2.11,12.56,1.12,4.44,0.66,0.2,0
AUS,PHX,20-Apr,94,96.81,95.74,95.74,0,0,1.15,1.61,10.9,1.61,0.88,1.81,3.39,2.61
AUS,RDU,20-Apr,4,100,100,100,0,0,0,0.7,8.75,0,2.5,3.08,1.5,0.25
AUS,SAN,20-Apr,49,97.96,97.96,95.92,0,0,0.71,0.86,9.2,0.76,2.02,0.34,4.08,2.92
AUS,SAT,20-Apr,2,100,100,100,0,0,0,1.3,11.5,1.5,1.5,0.8,2.5,4.5
AUS,SEA,20-Apr,21,100,95.24,95.24,0,0,0.67,3.67,14.05,0.9,3.29,0.69,2.86,2
AUS,SFO,20-Apr,8,87.5,87.5,100,0,0,3.25,2.4,12.38,4.25,1,0,0.38,0.38
AUS,SJC,20-Apr,26,100,92.31,96.15,0,0,0.46,2.15,10.35,1.46,0,0.24,3.92,2.42
AUS,SLC,20-Apr,35,97.14,97.14,94.29,0,0,1.54,1.4,12,1.69,1.77,0.49,6,4.31
AUS,SMF,20-Apr,4,100,100,75,0,0,3.25,0.1,7.25,3.25,3.75,0.1,7.75,10.5
AUS,SNA,20-Apr,1,0,0,0,0,0,43,0,9,42,0,0,1,44
AUS,STL,20-Apr,26,96.15,96.15,100,0,0,1.62,0.86,8.65,1.96,1.35,0.09,0,0.54
AUS,TPA,20-Apr,28,100,100,100,0,0,0.18,0.44,8.25,0.21,1.14,0.19,0.29,0.11
AUS,TUS,20-Apr,1,100,100,100,0,0,0,0,8,0,0,0.9,13,9
BDL,ATL,20-Apr,59,98.31,100,96.61,0,0,0.29,0.98,11.14,0.32,0.47,0.05,5.27,1.81
BDL,BWI,20-Apr,84,98.81,98.81,98.81,0,0,0.68,0.81,7.61,0.98,0.33,0.78,0.48,0.89
BDL,CLT,20-Apr,58,100,100,100,0,0,0.09,1.36,11.62,0.22,0.31,1.55,0.17,0
BDL,CVG,20-Apr,32,75,81.25,71.88,0,0,5.97,1.32,11.41,6.88,0.34,0.26,1,7.72
BDL,DCA,20-Apr,18,100,100,100,0,0,0.11,1.53,10.89,0,2.39,1.08,0.72,0.11
BDL,DEN,20-Apr,7,100,100,100,0,0,0,1.86,10,0.86,1.71,0.43,1.29,0
BDL,DFW,20-Apr,26,96.15,96.15,96.15,0,0,1.08,0.56,10.85,1.31,0.77,4.69,2.92,2.12
BDL,DTW,20-Apr,23,100,100,100,0,0,0.91,0.72,9.57,0.61,1.39,2.42,2.26,1.87
BDL,EWR,20-Apr,1,100,100,100,0,0,0,8.4,19,8,0,0,0,1
BDL,FLL,20-Apr,33,100,93.94,96.97,0,0,0.06,1.98,10.82,1.06,0.03,1.07,2.76,1.3
BDL,HPN,20-Apr,1,100,100,100,0,0,0,0,10,0,5,0,3,0
BDL,IAD,20-Apr,9,100,100,100,0,0,0,3.74,14.33,0.33,1.22,0.06,1.33,0
BDL,MCO,20-Apr,73,94.52,94.52,95.89,0,0,2.64,0.99,9.37,3.04,0.1,1.89,1.59,1.81
BDL,MDW,20-Apr,37,100,100,100,0,0,0.22,1.05,8.43,0.57,0.11,0.94,0.19,0
BDL,MIA,20-Apr,21,90.48,90.48,90.48,0,0,2.52,2,12.95,3.05,1.57,0.09,3.62,3
BDL,MSP,20-Apr,20,100,100,100,0,0,0,1.6,12.3,0.65,0.25,0.36,3.55,0.85
BDL,ONT,20-Apr,30,76.67,83.33,73.33,0,0,5.3,1.18,11.17,6.07,7.83,0.79,7.43,12.4
BDL,ORD,20-Apr,34,97.06,97.06,100,0,0,0.56,0.78,10.88,0.47,0.5,3.33,0.82,0
BDL,PBI,20-Apr,16,100,100,100,0,0,0,0.36,9.44,0,0.38,4.33,0.44,0.25
BDL,PHL,20-Apr,49,91.84,91.84,91.84,0,0,6.67,1.31,11.84,6.94,4.16,1.66,0.24,4.96
BDL,PIT,20-Apr,1,0,0,0,0,0,52,0,9,50,0,0.5,0,46
BDL,RSW,20-Apr,29,96.55,93.1,93.1,0,0,0.79,1.93,10.52,1.97,0.17,0.79,0.79,1.38
BDL,SJU,20-Apr,14,92.86,92.86,64.29,0,0,4.14,2.71,14,5.64,0,2.49,10.07,9
BDL,STL,20-Apr,9,100,100,100,0,0,0.11,0.63,7.44,0.44,0,0,0,0
BDL,TEB,20-Apr,3,33.33,33.33,33.33,0,0,45.67,0.13,9.33,44.33,0,0,0,42
BDL,TPA,20-Apr,55,98.18,98.18,94.55,0,0,0.51,1.05,9.2,0.96,1.02,0.63,3.71,2.62
BHM,ATL,20-Apr,59,94.92,96.61,94.92,0,0,3.05,0.08,10.59,2.8,0.19,1.42,0.68,3.32
BHM,BWI,20-Apr,26,100,100,100,0,0,0.88,0.65,8,0.85,0.35,0.61,0,0
BHM,DAL,20-Apr,26,100,100,96.15,0,0,0,1.23,8.65,0.58,2.35,0.4,3.31,1.62
BHM,DCA,20-Apr,3,100,100,100,0,0,0,1.97,12.67,0,6,0.1,0,0
BHM,DEN,20-Apr,10,100,100,100,0,0,0,4.37,15,0.6,3.2,4.02,4.5,0.6
BHM,DFW,20-Apr,14,92.86,85.71,92.86,0,0,2.07,4.72,15.36,4.5,2.29,4.89,3.93,2.5
BHM,HOU,20-Apr,16,93.75,93.75,81.25,0,0,1.38,1.66,9.19,1.69,3.75,0.45,3.94,3.69
BHM,IAH,20-Apr,28,100,96.43,92.86,0,0,0.5,4.73,14.79,3.5,7.43,2.49,3.25,3
BHM,LAS,20-Apr,11,100,100,90.91,0,0,0,0.96,8.55,0,6.73,0.31,6.73,4.09
BHM,MCO,20-Apr,28,96.43,96.43,96.43,0,0,1.25,1.59,9.14,1.57,1.11,0.79,0.07,0.75
BHM,MDW,20-Apr,27,100,100,100,0,0,0.04,1.24,8.7,0.07,0.78,0.39,0.11,0
BHM,MSY,20-Apr,1,100,100,100,0,0,0,3.2,11,3,4,0.3,8,7
BHM,ORD,20-Apr,44,93.18,93.18,97.73,0,0,2.39,1.23,12.07,2.41,0.23,2.1,0.23,0.43
BHM,TPA,20-Apr,27,96.3,96.3,96.3,0,0,1.96,0.7,8.22,2,0.19,0.13,0,1.59
BNA,ABQ,20-Apr,1,100,100,100,0,0,0,0,8,0,0,0,0,0
BNA,ATL,20-Apr,90,97.78,97.78,97.78,0,0,1.21,0.55,10.3,1.24,2.44,0.16,0.78,1.26
BNA,AUS,20-Apr,28,100,100,96.43,0,0,0.36,1.29,9.64,0.61,3.21,0.74,3,2.21
BNA,BOS,20-Apr,58,100,98.28,100,0,0,0.6,1.2,9.74,0.91,1.86,0.74,0.17,0.29
BNA,BUF,20-Apr,6,100,100,100,0,0,0.17,1.27,9.67,0.33,4.33,0,0,0
BNA,BUR,20-Apr,3,100,100,100,0,0,0,1.4,10.33,0,0.33,0,5.67,2.67
BNA,BWI,20-Apr,59,100,98.31,96.61,0,0,0.31,1.94,10.25,1.25,1.34,0.96,1.03,1.07
BNA,CLE,20-Apr,42,100,100,100,0,0,0.26,2,10.21,0.74,4.07,1.13,1.17,0.26
BNA,CLT,20-Apr,97,96.91,96.91,96.91,0,0,1.64,2.23,12.24,2.13,3.14,1.57,0,0.88
BNA,DAL,20-Apr,71,100,100,98.59,0,0,0.24,1.49,9.55,0.59,2.58,0.44,3,1.82
BNA,DCA,20-Apr,70,100,100,98.57,0,0,0,1.65,10.29,0.26,0.99,1.17,0.66,0.5
BNA,DEN,20-Apr,116,99.14,99.14,96.55,0,0,0.58,1.65,10.66,0.85,3.56,0.73,2.67,1.93
BNA,DFW,20-Apr,74,95.95,94.59,95.95,0,0,2,2.73,13.22,2.69,1.54,5.46,1.66,1.99
BNA,DTW,20-Apr,55,100,100,100,0,0,0.29,0.44,9.96,0.07,0.65,0.85,1.64,0.55
BNA,EWR,20-Apr,4,100,100,100,0,0,0,2.5,12.5,0,0.25,0.08,0,0
BNA,FLL,20-Apr,57,98.25,98.25,96.49,0,0,0.95,1.54,9.82,1.42,2.23,1.53,0.95,1.12
BNA,HOU,20-Apr,43,100,97.67,97.67,0,0,0,1.28,9.37,0.47,0.81,0.5,2.35,1.4
BNA,IAD,20-Apr,21,95.24,95.24,95.24,0,0,4.81,3.38,13.24,5.38,0.57,0.86,0.05,2.67
BNA,IAH,20-Apr,16,93.75,100,100,0,0,1.88,1.29,12.56,2.13,3.13,2.21,0.13,0.75
BNA,IND,20-Apr,2,100,100,50,0,0,0,1.5,10.5,0,12.5,0.1,11,8
BNA,JAX,20-Apr,51,100,100,98.04,0,0,0.02,1.29,9.39,0.24,0.98,0.06,1.06,0.8
BNA,JFK,20-Apr,1,100,100,100,0,0,0,6,16,6,0,0,0,0
BNA,LAS,20-Apr,44,97.73,97.73,88.64,0,0,0.75,1.3,9.61,1.16,2.09,1.09,6.05,5.36
BNA,LAX,20-Apr,38,97.37,97.37,92.11,0,0,2.24,1.68,10.79,2.61,1.82,0.33,3.39,3.5
BNA,LGA,20-Apr,29,100,96.55,100,0,0,0.48,1.72,10.62,0.83,2.1,3.16,1.72,0.9
BNA,MCI,20-Apr,44,100,100,100,0,0,0.02,1.35,9.41,0.11,0.64,0.54,1.43,0.48
BNA,MCO,20-Apr,85,97.65,97.65,97.65,0,0,1.44,1.14,9.58,1.73,0.82,1.81,0.13,1.28
BNA,MDW,20-Apr,69,98.55,98.55,98.55,0,0,0.55,0.88,8.84,0.72,0.33,0.66,0.26,0.3
BNA,MIA,20-Apr,30,96.67,93.33,96.67,0,0,1.4,3.93,14.27,2.3,0.8,0.55,0.17,0.8
BNA,MKE,20-Apr,32,96.88,96.88,96.88,0,0,2.34,1.73,9.94,2.72,3.53,0.97,0.47,2.19
