Departure,Arrival,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a
ABQ,ATL,20-Apr,10,100,90,90,0,0,0.5,4.25,15.7,1.6,2.1,0.3,3.8,2.6
ABQ,AUS,20-Apr,21,95.24,95.24,100,0,0,1.05,1.74,9.19,1.48,2.33,0.22,0.33,0.19
ABQ,BWI,20-Apr,12,100,100,100,0,0,0.42,1.96,9.33,2,3.92,0.08,0,0
ABQ,DAL,20-Apr,75,100,98.67,100,0,0,0.23,1.63,8.88,0.91,5.01,0.24,0.2,0.31
ABQ,DEN,20-Apr,84,98.81,98.81,98.81,0,0,0.27,3.92,12.56,1.08,1.94,1.28,1.15,0.48
ABQ,DFW,20-Apr,60,93.33,91.67,95,0,0,3.37,2.42,12.48,3.78,1.73,4.52,0.45,2.52
ABQ,HOU,20-Apr,41,100,100,100,0,0,0,1.4,8.71,0.24,1.59,0.26,0.05,0
ABQ,HPN,20-Apr,1,100,100,0,0,0,0,14.1,23,14,5,0.4,5,18
ABQ,IAH,20-Apr,14,100,100,92.86,0,0,0.64,6.91,15.86,0.79,4.21,0.54,4.14,2
ABQ,JFK,20-Apr,9,88.89,88.89,88.89,0,0,6.78,2.87,11.56,7.11,0,0.84,0,3.89
ABQ,LAS,20-Apr,43,100,100,100,0,0,0.12,1.59,8.88,0.65,2,0.28,0.05,0
ABQ,LAX,20-Apr,53,96.23,96.23,96.23,0,0,1.89,2.95,11.83,2.7,3.83,0.5,1.43,2.49
ABQ,MCI,20-Apr,10,100,100,100,0,0,0.8,2.5,9.9,2.5,3.1,0.29,0,0
ABQ,MCO,20-Apr,2,100,100,100,0,0,0,1.5,9,0,0.5,2.2,0,0
ABQ,MDW,20-Apr,24,100,100,100,0,0,0.17,2.08,9.5,0.79,5.83,0.2,0.08,0
ABQ,OAK,20-Apr,30,96.67,93.33,96.67,0,0,1,2.36,9.67,2.4,0.73,0.32,0.4,1.13
ABQ,OMA,20-Apr,2,100,100,100,0,0,0,0,8,0,6,0.15,6,1
ABQ,ONT,20-Apr,1,0,0,0,0,0,26,5.3,16,31,0,0,0,25
ABQ,ORD,20-Apr,18,100,100,100,0,0,0,3.28,12.28,1.22,0.78,3.72,0,0
ABQ,PDX,20-Apr,3,100,100,100,0,0,0,5.77,14.67,0,0,0.73,0,0
ABQ,PHX,20-Apr,75,96,92,92,0,0,3.71,3.85,11.77,5.73,1.37,0.22,1.35,4.65
ABQ,SAN,20-Apr,15,100,100,93.33,0,0,0.6,1.6,9,1.13,2.47,0.19,1.13,1.13
ABQ,SEA,20-Apr,19,100,100,100,0,0,0,3.47,12.63,0.68,10.58,1.63,1.47,0.47
ABQ,SFO,20-Apr,5,100,100,100,0,0,0,3.8,13.4,0,2.2,0,0,0
ABQ,SJC,20-Apr,1,100,100,100,0,0,0,2.5,10,1,0,0,0,0
ABQ,SLC,20-Apr,55,98.18,98.18,98.18,0,0,0.73,1.71,10.87,1.42,0.6,0.36,2.2,1.65
ABQ,TUS,20-Apr,1,100,100,100,0,0,0,0,8,0,0,1.3,0,0
ABQ,VNY,20-Apr,2,50,50,100,0,0,8.5,6.55,15,14.5,1,0,0.5,12.5
ANC,ATL,20-Apr,50,82,76,100,0,0,4.48,2.95,13.08,7.56,8.48,0.04,3.54,0
ANC,BNA,20-Apr,1,100,100,100,0,0,0,13.7,24,14,0,0,0,0
ANC,BOS,20-Apr,4,50,50,100,0,0,26.25,2.35,12.5,28.75,5.75,0.85,4,0
ANC,BWI,20-Apr,2,100,100,100,0,0,0,0,10,0,4.5,0,8,0
ANC,CVG,20-Apr,103,79.61,71.84,100,0,0,6.94,4.31,14.48,11.42,3.28,0.25,2.74,0
ANC,DEN,20-Apr,10,90,80,90,0,0,4.1,7.44,15.9,9.8,0,0.96,0.8,2.9
ANC,DFW,20-Apr,97,93.81,88.66,95.88,0,0,3.21,2.59,12.68,5.89,5.56,4.46,8.48,2.01
ANC,DTW,20-Apr,1,100,100,100,0,0,0,5.7,16,6,0,0,0,0
ANC,EWR,20-Apr,4,100,100,100,0,0,0,0.43,10.5,0.5,2.5,0.13,4.25,0
ANC,IAD,20-Apr,2,50,50,100,0,0,34.5,4.2,14.5,39,0,0,0,0
ANC,IAH,20-Apr,2,50,50,50,0,0,160,2.35,12.5,162.5,11.5,1.5,14.5,168.5
ANC,JFK,20-Apr,165,90.3,86.67,98.79,0,0,2.64,2.44,12.53,5.17,5.78,0.9,6.3,0.69
ANC,LAX,20-Apr,248,83.06,79.03,85.89,0,0,8.22,2.85,12.95,11.07,5.77,0.36,6.12,7.13
ANC,LGB,20-Apr,1,100,100,100,0,0,0,0,10,0,0,0.5,0,0
ANC,MEM,20-Apr,1,0,0,100,0,0,26,3.7,14,30,0,2.3,0,0
ANC,MHT,20-Apr,1,100,100,100,0,0,0,0,10,0,39,0.9,10,0
ANC,MIA,20-Apr,66,87.88,84.85,98.48,0,0,6.55,1.93,12.03,8.58,4.95,0.16,4.79,1.08
ANC,OAK,20-Apr,1,0,0,100,0,0,18,5.7,16,24,0,0,0,0
ANC,ONT,20-Apr,15,80,66.67,86.67,0,0,16.53,4.15,14.27,20.8,1.07,0.8,2,3.2
ANC,ORD,20-Apr,501,87.62,85.03,99.2,0,0,5.83,2.1,12.2,8.03,6.55,0.99,5.71,0.31
ANC,PDX,20-Apr,16,100,100,100,0,0,0,4.94,14.25,1.31,0.5,0.54,0.5,0
ANC,PHX,20-Apr,28,92.86,85.71,100,0,0,1.46,5.83,16.04,7.5,3.11,0.18,2.39,0
ANC,PIT,20-Apr,2,50,50,100,0,0,8,1.85,12,10,0,2,1.5,0
ANC,RFD,20-Apr,2,100,100,100,0,0,0,0,10,0,9.5,0,4.5,0
ANC,SDF,20-Apr,8,87.5,87.5,100,0,0,5,0.76,10.88,5.88,5.63,0.45,5.25,0
ANC,SEA,20-Apr,166,96.99,90.96,98.8,0,0,1.05,4.84,14.83,2.97,0.31,1.13,0.67,0.37
ANC,SFO,20-Apr,2,50,50,50,0,0,30.5,3.35,13.5,34,0,0,4.5,33.5
ANC,SLC,20-Apr,1,100,100,100,0,0,0,0,11,0,2,2.9,3,0
ANC,SWF,20-Apr,1,100,100,100,0,0,0,0,10,0,0,0,1,0
ANC,VNY,20-Apr,5,20,20,60,0,0,38.8,5.9,16.2,45,2.4,0,4.4,26.6
ATL,ABQ,20-Apr,10,100,100,40,0,0,0,2.3,15.6,0.5,6.5,0.5,23.4,16.2
ATL,ANC,20-Apr,55,85.45,85.45,81.82,0,0,6.71,1.25,13.29,7.96,5.22,1.16,4.44,9.44
ATL,AUS,20-Apr,98,98.98,95.92,89.8,0,0,1.05,1.46,13.08,1.56,1,0.68,8.35,6.48
ATL,BDL,20-Apr,58,93.1,91.38,94.83,0,0,3.95,1.88,14.55,4.22,0.17,0.05,1.55,3.83
ATL,BHM,20-Apr,58,96.55,96.55,96.55,0,0,1.6,1.02,13.22,1.76,1.64,0.02,3.76,3.17
ATL,BNA,20-Apr,87,97.7,100,97.7,0,0,0.71,1.41,13.08,1.16,2.17,0.22,2.24,1.84
ATL,BOS,20-Apr,125,96.8,98.4,99.2,0,0,0.95,1.1,12.87,1.26,2.1,0.68,0.18,0.26
ATL,BUF,20-Apr,28,100,100,100,0,0,0.57,1.18,13.43,0.64,3.71,0.03,2.14,0.64
ATL,BWI,20-Apr,146,99.32,99.32,99.32,0,0,0.6,1.1,12.07,0.91,1.09,0.5,0.34,0.45
ATL,CLE,20-Apr,84,100,98.81,98.81,0,0,0.29,1.24,12.86,0.51,0.65,0.77,1.67,0.93
ATL,CLT,20-Apr,133,95.49,92.48,98.5,0,0,2.03,2.06,14.42,2.95,2.07,1.07,0.56,1.11
ATL,CVG,20-Apr,104,91.35,90.38,91.35,0,0,4.37,1.38,13.52,5.2,0.1,0.22,1.63,4.62
ATL,DAL,20-Apr,103,100,100,94.17,0,0,0.17,1.07,11.53,0.42,1.96,0.55,4.14,2.62
